frame,timestamp,hip_angle,knee_angle,elbow_angle
315,10.4644,146.2478,130.4563,178.158
316,10.4977,134.9437,120.2544,178.8708
317,10.531,123.8956,109.2438,177.3041
318,10.5644,111.676,98.6474,176.5856
319,10.5977,99.7496,89.1385,177.6253
320,10.631,88.5393,80.5719,177.0476
321,10.6643,77.3319,72.3994,175.4072
322,10.6977,68.7882,69.5693,174.4465
323,10.731,61.7656,64.1693,173.0405
324,10.7643,54.4662,60.4398,171.6228
325,10.7976,47.3183,53.3591,170.9741
326,10.831,41.7178,48.8078,171.9084
327,10.8643,36.4,43.5412,172.0707
328,10.8976,33.0593,39.808,171.0967
329,10.931,30.2547,36.5975,170.2367
330,10.9643,28.514,34.7931,167.5189
331,10.9976,27.2837,35.412,168.3161
332,11.0309,26.6813,35.9244,164.7461
333,11.0643,27.6911,37.1361,160.5129
334,11.0976,27.4397,39.0599,169.473
335,11.1309,27.3794,40.2911,169.1711
336,11.1642,27.1267,44.7524,172.1063
337,11.1976,30.4853,50.9462,175.1171
338,11.2309,33.9951,52.3632,178.6349
339,11.2642,38.1232,55.2359,177.9383
340,11.2975,41.2889,56.7382,176.8266
341,11.3309,44.1916,58.9562,175.922
342,11.3642,47.9863,62.4415,175.8584
343,11.3975,53.7245,66.1476,177.6495
344,11.4308,63.1981,75.7083,178.0027
345,11.4642,73.1919,82.5069,177.6715
346,11.4975,79.6162,86.6472,175.7857
347,11.5308,88.8099,91.2027,175.2432
348,11.5641,101.4314,101.0273,177.8779
349,11.5975,112.9726,108.9567,179.8008
350,11.6308,126.6826,119.8498,179.4159
351,11.6641,139.0904,130.6607,179.4013
352,11.6975,146.8011,140.2057,179.8902
353,11.7308,153.5385,148.9247,178.9439
354,11.7641,160.8054,158.387,179.743
355,11.7974,165.7402,165.0892,179.4597
356,11.8308,169.5242,167.0206,179.1208
357,11.8641,172.8367,171.5601,179.2198
358,11.8974,174.6431,173.1348,179.6305
359,11.9307,177.1768,177.8606,178.9813
360,11.9641,178.8188,179.5101,178.6617
